,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
94,23,23,28.3,13.1,106,190,55.8,38,80,47.5,52,65,80.0,Kelly Olynyk,PF,UTA
95,17,17,30.2,12.9,75,167,44.9,34,91,37.4,36,41,87.8,Eric Gordon,SF,HOU
96,20,20,27.2,12.9,114,178,64.0,0,0,—,29,56,51.8,Jakob Poeltl,C,SA
97,20,20,23.3,12.9,97,179,54.2,12,27,44.4,52,64,81.3,Jonas Valanciunas,C,NO
98,19,19,30.7,12.7,74,159,46.5,17,60,28.3,77,89,86.5,Harrison Barnes,PF,SAC
99,21,21,32.2,12.6,101,207,48.8,16,71,22.5,47,55,85.5,John Collins,PF,ATL
100,16,0,23.7,12.4,69,147,46.9,15,50,30.0,46,63,73.0,Chris Boucher,C,TOR
101,22,22,29.6,12.4,104,238,43.7,33,95,34.7,32,34,94.1,Reggie Jackson,PG,LAC
102,18,8,27.6,12.3,76,155,49.0,39,97,40.2,31,33,93.9,Trey Murphy III,SF,NO
103,20,20,30.0,12.2,90,216,41.7,17,50,34.0,47,52,90.4,Tre Jones,PG,SA
104,17,0,22.2,12.1,76,169,45.0,16,57,28.1,38,63,60.3,John Wall,PG,LAC
105,21,21,27.4,12.0,113,154,73.4,0,1,0.0,25,55,45.5,Nicolas Claxton,C,BKN
106,19,19,31.6,11.6,77,161,47.8,44,88,50.0,23,30,76.7,Kentavious Caldwell-Pope,SG,DEN
107,16,0,23.5,11.6,76,158,48.1,12,36,33.3,21,29,72.4,Rui Hachimura,PF,WAS
108,19,19,32.3,11.6,78,177,44.1,34,97,35.1,30,35,85.7,Marcus Smart,PG,BOS
109,19,19,30.0,11.6,72,206,35.0,40,119,33.6,36,42,85.7,Jabari Smith,PF,HOU
110,17,14,32.1,11.4,65,182,35.7,26,71,36.6,37,47,78.7,Caris LeVert,SF,CLE
111,20,20,32.9,11.4,89,183,48.6,27,66,40.9,22,28,78.6,Caleb Martin,SF,MIA
112,20,5,25.2,11.4,88,161,54.7,21,62,33.9,30,46,65.2,Kenyon Martin Jr.,SF,HOU
113,19,19,29.9,11.4,85,159,53.5,20,56,35.7,26,34,76.5,Jaden McDaniels,SF,MIN
114,17,6,22.8,11.4,75,140,53.6,16,37,43.2,27,32,84.4,Shake Milton,SG,PHI
115,17,15,26.8,11.2,57,125,45.6,36,80,45.0,41,45,91.1,Grayson Allen,SF,MIL
116,17,17,31.2,11.2,74,133,55.6,37,76,48.7,5,8,62.5,Al Horford,C,BOS
